"HMDB_accession","Med"
"HMDB0007119",1.61
"HMDB0007120",1.61
"HMDB0007121",1.137
"HMDB0007124",0.231
"HMDB0007125",0.032
"HMDB0007127",1.07
"HMDB0007128",0.415
"HMDB0007129",3.87
"HMDB0007130",2.82
"HMDB0007131",2.82
"HMDB0007132",1.65
"HMDB0007133",0.173
"HMDB0007134",0.173
"HMDB0007136",1.24
"HMDB0007137",4.06
"HMDB0007138",8.1
"HMDB0007139",5.28
"HMDB0007140",5.28
"HMDB0007141",0.961
"HMDB0007142",0.961
"HMDB0007144",0.013
"HMDB0007145",0.022
"HMDB0007146",0.28
"HMDB0007147",1.61
"HMDB0007148",1.137
"HMDB0007149",1.137
"HMDB0007153",1.42
"HMDB0007154",1.07
"HMDB0007156",1.37
"HMDB0007157",3.87
"HMDB0007158",0.69
"HMDB0007159",1.24
"HMDB0007160",1.24
"HMDB0007161",4.06
"HMDB0007162",8.1
"HMDB0007163",8.1
"HMDB0007164",5.28
"HMDB0007165",0.003
"HMDB0007166",0.013
"HMDB0007167",0.022
"HMDB0007168",0.28
"HMDB0007169",0.28
"HMDB0007170",0.94
"HMDB0007171",0.94
"HMDB0007172",1.61
"HMDB0007176",0.036
"HMDB0007179",0.254
"HMDB0007182",1.07
"HMDB0007183",0.415
"HMDB0007185",3.87
"HMDB0007186",2.82
"HMDB0007187",1.24
"HMDB0007188",4.06
"HMDB0007189",4.06
"HMDB0007190",8.1
"HMDB0007191",5.28
"HMDB0007192",5.28
"HMDB0007193",0.961
"HMDB0007194",0.013
"HMDB0007195",0.022
"HMDB0007196",0.28
"HMDB0007197",0.94
"HMDB0007198",0.94
"HMDB0007199",1.61
"HMDB0007200",1.61
"HMDB0007201",1.137
"HMDB0007206",0.254
"HMDB0007207",0.254
"HMDB0007208",0.31
"HMDB0007211",1.07
"HMDB0007212",0.415
"HMDB0007214",3.87
"HMDB0007215",2.82
"HMDB0007216",1.24
"HMDB0007217",4.06
"HMDB0007218",4.06
"HMDB0007219",8.1
"HMDB0007220",5.28
"HMDB0007221",5.28
"HMDB0007222",0.961
"HMDB0007223",0.013
"HMDB0007224",0.022
"HMDB0007225",0.28
"HMDB0007226",0.94
"HMDB0007227",0.94
"HMDB0007228",1.61
"HMDB0007229",1.61
"HMDB0007230",1.137
"HMDB0007235",0.254
"HMDB0007236",0.254
"HMDB0007237",0.31
"HMDB0007240",0.415
"HMDB0007241",0.06
"HMDB0007243",2.82
"HMDB0007244",1.65
"HMDB0007245",4.06
"HMDB0007246",8.1
"HMDB0007247",8.1
"HMDB0007248",5.28
"HMDB0007249",0.961
"HMDB0007250",0.961
"HMDB0007252",0.022
"HMDB0007253",0.28
"HMDB0007254",0.94
"HMDB0007255",1.61
"HMDB0007256",1.61
"HMDB0007257",1.137
"HMDB0007258",1.137
"HMDB0007262",0.036
"HMDB0007263",0.254
"HMDB0007264",0.31
"HMDB0007265",0.31
"HMDB0007269",0.06
"HMDB0007272",1.65
"HMDB0007273",0.173
"HMDB0007274",8.1
"HMDB0007275",5.28
"HMDB0007276",5.28
"HMDB0007277",0.961
"HMDB0007281",0.28
"HMDB0007282",0.94
"HMDB0007283",1.61
"HMDB0007284",1.137
"HMDB0007285",1.137
"HMDB0007290",0.036
"HMDB0007292",0.31
"HMDB0007298",0.06
"HMDB0007301",1.65
"HMDB0007302",0.173
"HMDB0007303",8.1
"HMDB0007304",5.28
"HMDB0007305",5.28
"HMDB0007306",0.961
"HMDB0007310",0.28
"HMDB0007311",0.94
"HMDB0007312",1.61
"HMDB0007313",1.137
"HMDB0007314",1.137
"HMDB0007319",0.036
"HMDB0007321",0.31
"HMDB0007330",0.173
"HMDB0007332",5.28
"HMDB0007333",0.961
"HMDB0007334",0.961
"HMDB0007339",0.94
"HMDB0007340",1.61
"HMDB0007341",1.137
"HMDB0007347",0.036
"HMDB0007349",0.254
"HMDB0007356",1.37
"HMDB0007357",3.87
"HMDB0007359",0.69
"HMDB0007360",1.24
"HMDB0007361",0.003
"HMDB0007362",0.013
"HMDB0007363",0.013
"HMDB0007364",0.022
"HMDB0007365",0.28
"HMDB0007366",0.28
"HMDB0007367",0.94
"HMDB0007373",0.036
"HMDB0007374",0.036
"HMDB0007385",3.87
"HMDB0007386",2.82
"HMDB0007388",1.24
"HMDB0007389",4.06
"HMDB0007390",0.013
"HMDB0007391",0.022
"HMDB0007392",0.022
"HMDB0007393",0.28
"HMDB0007394",0.94
"HMDB0007395",0.94
"HMDB0007396",1.61
"HMDB0007400",0.036
"HMDB0007401",0.036
"HMDB0007404",0.254
"HMDB0007414",2.82
"HMDB0007415",1.65
"HMDB0007417",4.06
"HMDB0007418",8.1
"HMDB0007419",0.022
"HMDB0007420",0.28
"HMDB0007421",0.28
"HMDB0007422",0.94
"HMDB0007423",1.61
"HMDB0007424",1.61
"HMDB0007425",1.137
"HMDB0007428",0.036
"HMDB0007431",0.254
"HMDB0007432",0.254
"HMDB0007433",0.31
"HMDB0007443",1.65
"HMDB0007444",0.173
"HMDB0007446",8.1
"HMDB0007447",5.28
"HMDB0007448",0.28
"HMDB0007449",0.94
"HMDB0007450",0.94
"HMDB0007451",1.61
"HMDB0007452",1.137
"HMDB0007453",1.137
"HMDB0007456",0.036
"HMDB0007458",0.254
"HMDB0007459",0.254
"HMDB0007460",0.31
"HMDB0007461",0.31
"HMDB0007472",1.65
"HMDB0007473",0.173
"HMDB0007475",8.1
"HMDB0007476",5.28
"HMDB0007477",0.28
"HMDB0007478",0.94
"HMDB0007479",0.94
"HMDB0007480",1.61
"HMDB0007481",1.137
"HMDB0007482",1.137
"HMDB0007485",0.036
"HMDB0007487",0.254
"HMDB0007488",0.254
"HMDB0007489",0.31
"HMDB0007490",0.31
"HMDB0007501",0.173
"HMDB0007504",5.28
"HMDB0007505",0.961
"HMDB0007506",0.94
"HMDB0007507",1.61
"HMDB0007508",1.61
"HMDB0007509",1.137
"HMDB0007513",0.036
"HMDB0007515",0.254
"HMDB0007516",0.31
"HMDB0007517",0.31
"HMDB0007530",0.173
"HMDB0007533",5.28
"HMDB0007534",0.961
"HMDB0007535",0.94
"HMDB0007536",1.61
"HMDB0007537",1.61
"HMDB0007538",1.137
"HMDB0007542",0.036
"HMDB0007544",0.254
"HMDB0007545",0.31
"HMDB0007546",0.31
"HMDB0007562",0.961
"HMDB0007564",1.61
"HMDB0007565",1.137
"HMDB0007566",1.137
"HMDB0007572",0.254
"HMDB0007573",0.31
"HMDB0007588",0.69
"HMDB0007589",1.24
"HMDB0007591",0.003
"HMDB0007592",0.013
"HMDB0007599",0.036
"HMDB0007617",1.24
"HMDB0007618",4.06
"HMDB0007620",0.013
"HMDB0007621",0.022
"HMDB0007626",0.036
"HMDB0007627",0.036
"HMDB0007646",4.06
"HMDB0007647",8.1
"HMDB0007649",0.022
"HMDB0007650",0.28
"HMDB0007654",0.036
"HMDB0007657",0.254
"HMDB0007675",5.28
"HMDB0007676",0.961
"HMDB0007678",0.94
"HMDB0007679",1.61
"HMDB0007680",0.036
"HMDB0007683",0.254
"HMDB0007684",0.31
"HMDB0007685",0.31
"HMDB0007704",0.961
"HMDB0007707",1.61
"HMDB0007708",1.137
"HMDB0007710",0.254
"HMDB0007711",0.254
"HMDB0007712",0.31
"HMDB0007733",0.961
"HMDB0007736",1.61
"HMDB0007737",1.137
"HMDB0007739",0.254
"HMDB0007740",0.254
"HMDB0007741",0.31
"HMDB0007765",1.137
"HMDB0007767",0.254
"HMDB0007768",0.31
"HMDB0007769",0.31
"HMDB0007791",0.003
"HMDB0007792",0.013
"HMDB0007820",0.013
"HMDB0007821",0.022
"HMDB0007858",0.147
"HMDB0007859",0.147
"HMDB0007860",0.144
"HMDB0007861",0.223
"HMDB0007862",0.223
"HMDB0007863",0.223
"HMDB0007864",0.223
"HMDB0007865",0.223
"HMDB0007867",0.8
"HMDB0007869",2.97
"HMDB0007871",14.485
"HMDB0007872",10.42
"HMDB0007873",11.26
"HMDB0007874",2.34
"HMDB0007875",0.38
"HMDB0007876",0.435
"HMDB0007879",139
"HMDB0007880",315
"HMDB0007881",11
"HMDB0007882",13.45
"HMDB0007883",0.82
"HMDB0007884",1.345
"HMDB0007886",1.55
"HMDB0007887",40.8
"HMDB0007888",231.35
"HMDB0007889",135
"HMDB0007890",10
"HMDB0007891",18.845
"HMDB0007892",0.4
"HMDB0007893",1.835
"HMDB0007894",0.655
"HMDB0007895",2.99
"HMDB0007896",14.485
"HMDB0007897",11.26
"HMDB0007898",11.26
"HMDB0007899",2.6
"HMDB0007903",0
"HMDB0007904",11.26
"HMDB0007905",3.18
"HMDB0007906",3.18
"HMDB0007907",0.435
"HMDB0007911",173
"HMDB0007912",362.16
"HMDB0007913",13.45
"HMDB0007914",1.345
"HMDB0007915",1.345
"HMDB0007919",48.95
"HMDB0007920",231.35
"HMDB0007921",106
"HMDB0007922",18.845
"HMDB0007923",0.78
"HMDB0007924",0.78
"HMDB0007926",1.23
"HMDB0007929",11.26
"HMDB0007930",3.18
"HMDB0007931",3.18
"HMDB0007934",2.99
"HMDB0007965",2.99
"HMDB0007969",11.26
"HMDB0007971",173
"HMDB0007972",173
"HMDB0007973",362.16
"HMDB0007974",13.45
"HMDB0007975",13.45
"HMDB0007976",1.345
"HMDB0007977",2.035
"HMDB0007978",48.95
"HMDB0007979",231.35
"HMDB0007980",117.95
"HMDB0007981",117.95
"HMDB0007982",162.2
"HMDB0007983",162.2
"HMDB0007984",18.845
"HMDB0007985",2.21
"HMDB0007986",1.23
"HMDB0007988",90.4
"HMDB0007989",36.2
"HMDB0007990",45.2
"HMDB0007991",60.6
"HMDB0007993",0.395
"HMDB0007994",14.485
"HMDB0007996",173
"HMDB0007997",173
"HMDB0008001",11.26
"HMDB0008002",3.18
"HMDB0008003",173
"HMDB0008004",362.16
"HMDB0008005",362.16
"HMDB0008006",13.45
"HMDB0008007",1.345
"HMDB0008008",1.345
"HMDB0008010",48.95
"HMDB0008011",231.35
"HMDB0008012",117.95
"HMDB0008013",162.2
"HMDB0008014",162.2
"HMDB0008015",18.845
"HMDB0008016",18.845
"HMDB0008017",0.78
"HMDB0008018",1.23
"HMDB0008020",36.1
"HMDB0008021",45.2
"HMDB0008022",74.3
"HMDB0008024",74.3
"HMDB0008025",0.39
"HMDB0008026",0.29
"HMDB0008027",11.26
"HMDB0008028",173
"HMDB0008029",362.16
"HMDB0008030",362.16
"HMDB0008031",14.485
"HMDB0008032",11.26
"HMDB0008035",173
"HMDB0008036",2.035
"HMDB0008037",48.95
"HMDB0008038",48.95
"HMDB0008039",231.35
"HMDB0008040",117.95
"HMDB0008041",117.95
"HMDB0008042",162.2
"HMDB0008043",2.21
"HMDB0008044",1.23
"HMDB0008046",41.7
"HMDB0008047",41.7
"HMDB0008048",96
"HMDB0008049",96
"HMDB0008050",45.2
"HMDB0008052",0.39
"HMDB0008053",0.305
"HMDB0008054",3
"HMDB0008055",5.865
"HMDB0008056",13.85
"HMDB0008057",22.6
"HMDB0008058",0.5
"HMDB0008059",0.275
"HMDB0008061",2.035
"HMDB0008062",48.95
"HMDB0008063",48.95
"HMDB0008064",11.26
"HMDB0008065",3.18
"HMDB0008067",173
"HMDB0008068",362.16
"HMDB0008069",48.95
"HMDB0008070",231.35
"HMDB0008071",231.35
"HMDB0008072",117.95
"HMDB0008073",162.2
"HMDB0008074",162.2
"HMDB0008075",18.845
"HMDB0008076",1.23
"HMDB0008078",41.7
"HMDB0008079",96
"HMDB0008080",96
"HMDB0008081",45.2
"HMDB0008082",45.2
"HMDB0008083",74.3
"HMDB0008084",0.39
"HMDB0008085",0.305
"HMDB0008086",0.49
"HMDB0008087",13.85
"HMDB0008088",25.2
"HMDB0008089",25.2
"HMDB0008091",0.28
"HMDB0008092",0.195
"HMDB0008093",173
"HMDB0008094",48.95
"HMDB0008095",231.35
"HMDB0008096",231.35
"HMDB0008097",11.26
"HMDB0008098",3.18
"HMDB0008100",173
"HMDB0008101",362.16
"HMDB0008102",48.95
"HMDB0008103",231.35
"HMDB0008105",117.95
"HMDB0008106",162.2
"HMDB0008107",162.2
"HMDB0008108",18.845
"HMDB0008109",1.23
"HMDB0008111",41.7
"HMDB0008112",96
"HMDB0008113",96
"HMDB0008114",45.2
"HMDB0008115",45.2
"HMDB0008116",74.3
"HMDB0008117",0.39
"HMDB0008118",0.305
"HMDB0008119",0.515
"HMDB0008120",13.85
"HMDB0008121",25.2
"HMDB0008122",25.2
"HMDB0008124",0.28
"HMDB0008125",0.2
"HMDB0008126",173
"HMDB0008127",48.95
"HMDB0008128",231.35
"HMDB0008129",231.35
"HMDB0008130",3.18
"HMDB0008131",0.435
"HMDB0008133",362.16
"HMDB0008134",13.45
"HMDB0008135",231.35
"HMDB0008136",117.95
"HMDB0008137",117.95
"HMDB0008138",162.2
"HMDB0008139",45.2
"HMDB0008140",18.845
"HMDB0008141",18.845
"HMDB0008142",0.78
"HMDB0008144",41.7
"HMDB0008145",96
"HMDB0008146",45.2
"HMDB0008147",74.3
"HMDB0008148",74.3
"HMDB0008150",0.305
"HMDB0008151",0.515
"HMDB0008152",3.075
"HMDB0008153",25.2
"HMDB0008157",0.2
"HMDB0008159",362.16
"HMDB0008160",231.35
"HMDB0008161",117.95
"HMDB0008162",117.95
"HMDB0008163",0.435
"HMDB0008166",13.45
"HMDB0008167",1.345
"HMDB0008168",117.95
"HMDB0008169",162.2
"HMDB0008170",162.2
"HMDB0008171",18.845
"HMDB0008172",0.78
"HMDB0008173",0.78
"HMDB0008175",41.7
"HMDB0008176",96
"HMDB0008177",45.2
"HMDB0008178",74.3
"HMDB0008179",74.3
"HMDB0008183",0.515
"HMDB0008184",3.075
"HMDB0008185",13.85
"HMDB0008191",0.19
"HMDB0008192",13.45
"HMDB0008193",117.95
"HMDB0008194",162.2
"HMDB0008195",162.2
"HMDB0008196",0.435
"HMDB0008199",13.45
"HMDB0008200",1.345
"HMDB0008201",117.95
"HMDB0008202",162.2
"HMDB0008203",162.2
"HMDB0008204",18.845
"HMDB0008205",0.78
"HMDB0008206",0.78
"HMDB0008208",41.7
"HMDB0008209",96
"HMDB0008210",45.2
"HMDB0008211",74.3
"HMDB0008212",74.3
"HMDB0008216",0.515
"HMDB0008217",3.075
"HMDB0008218",13.85
"HMDB0008224",0.2
"HMDB0008225",13.45
"HMDB0008226",117.95
"HMDB0008227",162.2
"HMDB0008228",162.2
"HMDB0008232",1.345
"HMDB0008234",162.2
"HMDB0008235",18.845
"HMDB0008236",18.845
"HMDB0008237",0.78
"HMDB0008241",96
"HMDB0008242",45.2
"HMDB0008243",74.3
"HMDB0008249",3.075
"HMDB0008250",13.85
"HMDB0008251",25.2
"HMDB0008256",0.2
"HMDB0008257",0.32
"HMDB0008258",1.345
"HMDB0008259",162.2
"HMDB0008260",18.845
"HMDB0008261",18.845
"HMDB0008263",173
"HMDB0008265",2.035
"HMDB0008266",48.95
"HMDB0008267",2.21
"HMDB0008268",1.23
"HMDB0008269",1.23
"HMDB0008271",41.7
"HMDB0008272",41.7
"HMDB0008273",96
"HMDB0008275",0.39
"HMDB0008276",0.305
"HMDB0008277",0.515
"HMDB0008278",0.515
"HMDB0008279",3.075
"HMDB0008280",3.075
"HMDB0008281",13.85
"HMDB0008282",0.55
"HMDB0008283",0.28
"HMDB0008284",0.2
"HMDB0008285",0.2
"HMDB0008286",0.355
"HMDB0008287",0.355
"HMDB0008288",0.54
"HMDB0008291",2.035
"HMDB0008292",2.21
"HMDB0008293",1.23
"HMDB0008294",1.23
"HMDB0008295",173
"HMDB0008296",362.16
"HMDB0008298",48.95
"HMDB0008299",231.35
"HMDB0008300",1.23
"HMDB0008303",41.7
"HMDB0008304",96
"HMDB0008305",96
"HMDB0008306",45.2
"HMDB0008307",0.39
"HMDB0008308",0.305
"HMDB0008309",0.515
"HMDB0008310",3.075
"HMDB0008311",3.075
"HMDB0008312",13.85
"HMDB0008313",13.85
"HMDB0008314",25.2
"HMDB0008315",0.28
"HMDB0008316",0.2
"HMDB0008318",0.355
"HMDB0008319",0.61
"HMDB0008320",0.61
"HMDB0008324",48.95
"HMDB0008325",1.23
"HMDB0008328",362.16
"HMDB0008329",13.45
"HMDB0008331",231.35
"HMDB0008332",117.95
"HMDB0008334",41.7
"HMDB0008335",41.7
"HMDB0008336",96
"HMDB0008337",45.2
"HMDB0008338",45.2
"HMDB0008339",74.3
"HMDB0008340",0.305
"HMDB0008341",0.515
"HMDB0008342",3.075
"HMDB0008343",13.85
"HMDB0008344",13.85
"HMDB0008345",25.2
"HMDB0008346",25.2
"HMDB0008348",0.2
"HMDB0008350",0.2
"HMDB0008351",0.61
"HMDB0008357",231.35
"HMDB0008359",41.7
"HMDB0008360",41.7
"HMDB0008361",13.45
"HMDB0008362",1.345
"HMDB0008364",117.95
"HMDB0008365",162.2
"HMDB0008366",41.7
"HMDB0008367",96
"HMDB0008368",96
"HMDB0008369",45.2
"HMDB0008370",74.3
"HMDB0008371",74.3
"HMDB0008373",0.515
"HMDB0008374",3.075
"HMDB0008375",13.85
"HMDB0008376",25.2
"HMDB0008377",25.2
"HMDB0008382",0.2
"HMDB0008383",0.355
"HMDB0008390",117.95
"HMDB0008391",41.7
"HMDB0008392",96
"HMDB0008393",96
"HMDB0008394",13.45
"HMDB0008395",1.345
"HMDB0008397",117.95
"HMDB0008398",162.2
"HMDB0008399",41.7
"HMDB0008400",96
"HMDB0008401",96
"HMDB0008402",45.2
"HMDB0008403",74.3
"HMDB0008404",74.3
"HMDB0008406",0.515
"HMDB0008407",13.85
"HMDB0008408",25.2
"HMDB0008409",25.2
"HMDB0008414",0.2
"HMDB0008415",0.355
"HMDB0008422",117.95
"HMDB0008423",41.7
"HMDB0008424",96
"HMDB0008425",96
"HMDB0008426",1.345
"HMDB0008429",162.2
"HMDB0008430",18.845
"HMDB0008431",96
"HMDB0008432",45.2
"HMDB0008433",45.2
"HMDB0008434",74.3
"HMDB0008438",3.075
"HMDB0008439",13.85
"HMDB0008440",25.2
"HMDB0008446",0.2
"HMDB0008447",0.355
"HMDB0008448",0.61
"HMDB0008455",162.2
"HMDB0008456",96
"HMDB0008457",45.2
"HMDB0008458",45.2
"HMDB0008459",1.345
"HMDB0008462",162.2
"HMDB0008463",18.845
"HMDB0008464",96
"HMDB0008465",45.2
"HMDB0008466",45.2
"HMDB0008467",74.3
"HMDB0008471",3.075
"HMDB0008472",13.85
"HMDB0008473",25.2
"HMDB0008479",0.2
"HMDB0008480",0.355
"HMDB0008481",0.61
"HMDB0008488",162.2
"HMDB0008489",96
"HMDB0008490",45.2
"HMDB0008491",45.2
"HMDB0008495",18.845
"HMDB0008496",0.78
"HMDB0008497",45.2
"HMDB0008498",74.3
"HMDB0008499",74.3
"HMDB0008504",13.85
"HMDB0008505",25.2
"HMDB0008512",0.355
"HMDB0008513",0.61
"HMDB0008521",18.845
"HMDB0008522",45.2
"HMDB0008523",74.3
"HMDB0008524",74.3
"HMDB0008525",2.035
"HMDB0008526",48.95
"HMDB0008528",2.21
"HMDB0008529",1.23
"HMDB0008531",0.39
"HMDB0008532",0.39
"HMDB0008533",0.305
"HMDB0008534",0.515
"HMDB0008535",0.515
"HMDB0008536",3.075
"HMDB0008537",0.55
"HMDB0008538",0.28
"HMDB0008539",0.2
"HMDB0008542",0.2
"HMDB0008543",0.2
"HMDB0008544",0.355
"HMDB0008554",2.21
"HMDB0008556",0.39
"HMDB0008557",0.39
"HMDB0008558",48.95
"HMDB0008559",231.35
"HMDB0008561",1.23
"HMDB0008563",0.39
"HMDB0008564",0.305
"HMDB0008565",0.515
"HMDB0008566",3.075
"HMDB0008567",3.075
"HMDB0008568",13.85
"HMDB0008569",0.28
"HMDB0008570",0.2
"HMDB0008572",0.2
"HMDB0008573",0.2
"HMDB0008574",0.355
"HMDB0008575",0.355
"HMDB0008576",0.61
"HMDB0008586",1.23
"HMDB0008587",0.39
"HMDB0008588",0.305
"HMDB0008589",0.305
"HMDB0008590",231.35
"HMDB0008591",117.95
"HMDB0008594",41.7
"HMDB0008595",0.305
"HMDB0008596",0.515
"HMDB0008597",0.515
"HMDB0008598",3.075
"HMDB0008599",13.85
"HMDB0008600",13.85
"HMDB0008601",25.2
"HMDB0008602",0.2
"HMDB0008604",0.2
"HMDB0008605",0.355
"HMDB0008606",0.355
"HMDB0008607",0.61
"HMDB0008608",0.61
"HMDB0008620",0.305
"HMDB0008621",0.515
"HMDB0008622",0.515
"HMDB0008623",162.2
"HMDB0008624",18.845
"HMDB0008626",96
"HMDB0008627",45.2
"HMDB0008628",3.075
"HMDB0008629",13.85
"HMDB0008630",13.85
"HMDB0008631",25.2
"HMDB0008635",0.2
"HMDB0008636",0.355
"HMDB0008637",0.61
"HMDB0008652",96
"HMDB0008653",3.075
"HMDB0008654",13.85
"HMDB0008655",13.85
"HMDB0008656",18.845
"HMDB0008657",0.78
"HMDB0008659",45.2
"HMDB0008660",74.3
"HMDB0008661",13.85
"HMDB0008662",25.2
"HMDB0008663",25.2
"HMDB0008668",0.355
"HMDB0008669",0.61
"HMDB0008685",45.2
"HMDB0008686",13.85
"HMDB0008687",25.2
"HMDB0008688",25.2
"HMDB0008689",18.845
"HMDB0008690",0.78
"HMDB0008692",45.2
"HMDB0008693",74.3
"HMDB0008694",13.85
"HMDB0008695",25.2
"HMDB0008696",25.2
"HMDB0008701",0.355
"HMDB0008702",0.61
"HMDB0008718",45.2
"HMDB0008719",13.85
"HMDB0008720",25.2
"HMDB0008721",25.2
"HMDB0008722",0.78
"HMDB0008725",74.3
"HMDB0008727",25.2
"HMDB0008734",0.61
"HMDB0008751",74.3
"HMDB0008752",25.2
"HMDB0008755",2.21
"HMDB0008756",1.23
"HMDB0008759",0.39
"HMDB0008760",0.55
"HMDB0008761",0.28
"HMDB0008762",0.28
"HMDB0008763",0.2
"HMDB0008766",0.2
"HMDB0008785",0.55
"HMDB0008786",0.28
"HMDB0008787",0.28
"HMDB0008788",1.23
"HMDB0008791",0.39
"HMDB0008792",0.305
"HMDB0008793",0.28
"HMDB0008794",0.2
"HMDB0008795",0.2
"HMDB0008797",0.2
"HMDB0008798",0.24
"HMDB0008799",0.355
"HMDB0008817",0.39
"HMDB0008818",0.28
"HMDB0008819",0.2
"HMDB0008820",0.2
"HMDB0009779",0.746
"HMDB0009781",0.473
"HMDB0009782",1.78
"HMDB0009783",1.78
"HMDB0009784",2.64
"HMDB0009785",0.269
"HMDB0009786",4.29
"HMDB0009787",1.17
"HMDB0009788",1.17
"HMDB0009789",1.27
"HMDB0009790",1.27
"HMDB0009791",0.189
"HMDB0009792",1.83
"HMDB0009793",11
"HMDB0009794",11
"HMDB0009795",1.28
"HMDB0009796",1.28
"HMDB0009797",0.746
"HMDB0009799",1.78
"HMDB0009800",2.64
"HMDB0009801",2.64
"HMDB0009803",2.64
"HMDB0009804",1.28
"HMDB0009805",0.473
"HMDB0009806",1.78
"HMDB0009807",2.64
"HMDB0009808",0.269
"HMDB0009809",4.29
"HMDB0009810",1.17
"HMDB0009811",1.17
"HMDB0009812",0.189
"HMDB0009813",1.83
"HMDB0009814",1.83
"HMDB0009815",11
"HMDB0009816",11
"HMDB0009817",0.451
"HMDB0009818",0.451
"HMDB0009819",0.475
"HMDB0009820",0.475
"HMDB0009821",0.54
"HMDB0009822",1.78
"HMDB0009823",2.64
"HMDB0009824",4.29
"HMDB0009825",4.29
"HMDB0009826",1.17
"HMDB0009827",1.27
"HMDB0009828",1.27
"HMDB0009829",0.189
"HMDB0009830",11
"HMDB0009831",11
"HMDB0009832",1.28
"HMDB0009833",1.28
"HMDB0009834",1.78
"HMDB0009835",2.64
"HMDB0009836",4.29
"HMDB0009837",4.29
"HMDB0009838",1.17
"HMDB0009839",1.27
"HMDB0009840",1.27
"HMDB0009841",0.189
"HMDB0009842",11
"HMDB0009843",11
"HMDB0009844",1.28
"HMDB0009845",1.28
"HMDB0009846",2.64
"HMDB0009847",4.29
"HMDB0009848",1.17
"HMDB0009849",1.17
"HMDB0009850",1.27
"HMDB0009851",0.189
"HMDB0009852",1.83
"HMDB0009853",11
"HMDB0009854",1.28
"HMDB0009855",1.28
"HMDB0009856",0.451
"HMDB0009857",0.475
"HMDB0009858",1.17
"HMDB0009859",1.27
"HMDB0009860",1.27
"HMDB0009861",0.54
"HMDB0009862",1.17
"HMDB0009863",1.27
"HMDB0009864",1.27
"HMDB0009865",0.54
"HMDB0009866",0.269
"HMDB0009867",0.189
"HMDB0009868",0.217
"HMDB0009869",0.451
"HMDB0009870",0.189
"HMDB0009871",0.189
"HMDB0009872",1.83
"HMDB0009873",0.475
"HMDB0009874",0.475
"HMDB0009875",4.29
"HMDB0009876",0.189
"HMDB0009877",11
"HMDB0009878",0.451
"HMDB0009879",1.17
"HMDB0009880",1.83
"HMDB0009881",11
"HMDB0009882",11
"HMDB0009883",1.28
"HMDB0009884",0.54
"HMDB0009885",0.54
"HMDB0009886",1.17
"HMDB0009887",1.83
"HMDB0009888",11
"HMDB0009889",11
"HMDB0009890",1.28
"HMDB0009891",0.54
"HMDB0009892",0.54
"HMDB0009893",1.27
"HMDB0009894",11
"HMDB0009895",1.28
"HMDB0009896",1.28
"HMDB0009897",0.451
"HMDB0009898",0.475
"HMDB0009899",1.27
"HMDB0009900",11
"HMDB0009901",1.28
"HMDB0009902",1.28
"HMDB0009903",0.451
"HMDB0009904",0.475
"HMDB0009905",0.189
"HMDB0009906",0.451
"HMDB0009907",1.83
"HMDB0009908",1.28
"HMDB0009909",0.475
"HMDB0009910",0.54
"HMDB0009911",0.54
"HMDB0009912",11
"HMDB0009913",0.451
"HMDB0009914",11
"HMDB0009915",0.451
"HMDB0009916",1.28
"HMDB0009917",0.475
"HMDB0009918",1.28
"HMDB0009919",0.475
"HMDB0009920",0.54
"HMDB0010163",0.733
"HMDB0010165",0.481
"HMDB0010166",0.114
"HMDB0010167",0.637
"HMDB0010168",65.55
"HMDB0010169",81
"HMDB0010199",0.000149
"HMDB0010200",0.000416
"HMDB0010201",0.0002095
"HMDB0010202",0.0018535
"HMDB0010203",0.001505
"HMDB0010204",0.001132
"HMDB0010205",0.000119
"HMDB0010206",0.00327
"HMDB0010207",0.000437
"HMDB0010208",0.0145
"HMDB0010209",0.0002835
"HMDB0010210",0.0007155
"HMDB0010211",0.0144
"HMDB0010212",0.00009215
"HMDB0010213",0.0004835
"HMDB0010214",0.00123
"HMDB0010216",0.000247
"HMDB0010217",0.000136
"HMDB0010219",0.0001
"HMDB0010220",0.00208
"HMDB0010221",0.00236
"HMDB0010222",0.001495
"HMDB0010224",0.00198
"HMDB0010316",30.2
"HMDB0010319",4.07
"HMDB0010325",2.9
"HMDB0010335",0.014
"HMDB0010340",0.0068
"HMDB0010343",13
"HMDB0010367",4.19
"HMDB0010368",37.5
"HMDB0010369",23.66
"HMDB0010370",23.6
"HMDB0010371",2.47
"HMDB0010372",1.86
"HMDB0010373",2.8
"HMDB0010374",3.28
"HMDB0010376",0.92
"HMDB0010378",1.316
"HMDB0010379",2.22
"HMDB0010380",0.211
"HMDB0010381",1.764
"HMDB0010382",78.69
"HMDB0010383",2.34
"HMDB0010384",25.36
"HMDB0010385",16.4
"HMDB0010386",30.33
"HMDB0010387",0.234
"HMDB0010388",1.239
"HMDB0010389",0.286
"HMDB0010390",0.688
"HMDB0010391",0.526
"HMDB0010392",0.712
"HMDB0010393",1.68
"HMDB0010394",2.65
"HMDB0010395",6.13
"HMDB0010396",5.48
"HMDB0010397",1.608
"HMDB0010398",0.43
"HMDB0010399",0.569
"HMDB0010400",0.095
"HMDB0010401",0.064
"HMDB0010402",0.107
"HMDB0010403",0.743
"HMDB0010404",2.78
"HMDB0010405",0.175
"HMDB0010406",0.728
"HMDB0010407",0.928
"HMDB0010408",16.4
"HMDB0010410",0.001
