"HMDB_accession","Med"
"HMDB0000575",4.9
"HMDB0000580",9.58
"HMDB0000582",0.000016
"HMDB0000586",3500
"HMDB0000588",136000
"HMDB0000593",212
"HMDB0000595",NA
"HMDB0000598",NA
"HMDB0000599",0.00329
"HMDB0000600",0.061
"HMDB0000601",0.05
"HMDB0000606",0.5
"HMDB0000607",NA
"HMDB0000608",0.00183
"HMDB0000610",1506.38
"HMDB0000613",3.5
"HMDB0000618",1.72
"HMDB0000619",0.72
"HMDB0000623",109.91
"HMDB0000625",4.1475
"HMDB0000626",0.45
"HMDB0000630",6.4
"HMDB0000635",0.0815
"HMDB0000637",0.06
"HMDB0000638",5.285
"HMDB0000641",550.7
"HMDB0000643",0.0073
"HMDB0000645",48
"HMDB0000646",2.5
"HMDB0000651",0.195
"HMDB0000653",5.4
"HMDB0000657",13.038
"HMDB0000658",118.74
"HMDB0000660",39.5
"HMDB0000661",0
"HMDB0000662",5.66
"HMDB0000667",0.29
"HMDB0000669",0.2465
"HMDB0000670",2
"HMDB0000671",2.8
"HMDB0000673",207.9
"HMDB0000674",0.186
"HMDB0000675",0.41
"HMDB0000676",3.3
"HMDB0000678",0.17
"HMDB0000679",5
"HMDB0000682",8.245
"HMDB0000684",2.21
"HMDB0000687",98.7
"HMDB0000688",0.269
"HMDB0000691",12.9
"HMDB0000692",8950
"HMDB0000693",0.5
"HMDB0000694",0.55
"HMDB0000695",26.5
"HMDB0000696",20.6
"HMDB0000698",0.009
"HMDB0000699",0.43
"HMDB0000700",3
"HMDB0000706",0.018
"HMDB0000707",0.37
"HMDB0000708",0.145
"HMDB0000709",14.8
"HMDB0000710",24.6
"HMDB0000714",9.87
"HMDB0000715",0.03
"HMDB0000716",6.23
"HMDB0000718",3.248
"HMDB0000719",12
"HMDB0000722",1.212
"HMDB0000725",20
"HMDB0000729",7.6
"HMDB0000732",0.05
"HMDB0000736",0.069
"HMDB0000740",0.12
"HMDB0000742",8
"HMDB0000746",0.7
"HMDB0000751",9
"HMDB0000754",7
"HMDB0000755",0.64
"HMDB0000756",0.0455
"HMDB0000757",41.2
"HMDB0000761",0.205
"HMDB0000763",0.0516
"HMDB0000764",0.759
"HMDB0000765",20.5715
"HMDB0000767",2.6146
"HMDB0000774",0.13
"HMDB0000784",27
"HMDB0000786",50
"HMDB0000788",76.5835
"HMDB0000791",0.175
"HMDB0000792",0.091
"HMDB0000795",1.5
"HMDB0000801",4.365
"HMDB0000806",13.137
"HMDB0000807",52.7
"HMDB0000819",0.00035
"HMDB0000820",0.33
"HMDB0000824",0.34
"HMDB0000826",2.692
"HMDB0000827",85
"HMDB0000830",0.57
"HMDB0000840",1
"HMDB0000845",0.0055
"HMDB0000848",0.04
"HMDB0000852",6.876
"HMDB0000857",0.21
"HMDB0000863",83.3
"HMDB0000870",0.000335
"HMDB0000872",0.11
"HMDB0000874",2
"HMDB0000876",0.049
"HMDB0000878",0.009326
"HMDB0000879",0.0052
"HMDB0000881",0.011
"HMDB0000883",209
"HMDB0000884",0.2
"HMDB0000885",208
"HMDB0000888",0.44
"HMDB0000892",0.6
"HMDB0000893",1.87
"HMDB0000896",0.062
"HMDB0000897",0.129
"HMDB0000898",0.00034
"HMDB0000899",0.00036
"HMDB0000900",0.00275
"HMDB0000902",24.3
"HMDB0000904",35
"HMDB0000906",13.485
"HMDB0000907",1.6
"HMDB0000908",5.9165
"HMDB0000918",704.47
"HMDB0000921",0.079
"HMDB0000925",38.305
"HMDB0000929",48.7
"HMDB0000936",0.0063
"HMDB0000937",11.15
"HMDB0000939",0.2345
"HMDB0000944",1.012
"HMDB0000946",0.16
"HMDB0000950",0.281
"HMDB0000951",0.3
"HMDB0000954",0.035
"HMDB0000955",0.127
"HMDB0000957",0.6955
"HMDB0000961",0.0086
"HMDB0000990",1
"HMDB0000996",1.38
"HMDB0000998",29
"HMDB0001000",0.5
"HMDB0001032",0.95
"HMDB0001035",0.0000086
"HMDB0001043",60.7
"HMDB0001045",0.0003
"HMDB0001046",0.004682
"HMDB0001049",3.05
"HMDB0001051",1476
"HMDB0001056",0.005
"HMDB0001058",2.5
"HMDB0001060",0.4
"HMDB0001065",0.002765
"HMDB0001067",4.89
"HMDB0001068",1.02
"HMDB0001072",0.75
"HMDB0001085",0.000198
"HMDB0001112",4.8
"HMDB0001123",0.0155
"HMDB0001139",0.00033
"HMDB0001149",0.35
"HMDB0001160",0.033
"HMDB0001161",10
"HMDB0001165",0.14
"HMDB0001167",0.653
"HMDB0001169",10
"HMDB0001170",5.38
"HMDB0001185",0.055
"HMDB0001198",0.001359
"HMDB0001201",16.5
"HMDB0001220",0.0009
"HMDB0001238",0.0054
"HMDB0001244",0.00013
"HMDB0001247",0.1
"HMDB0001248",0.075
"HMDB0001251",0.48
"HMDB0001256",0.12
"HMDB0001257",4.3
"HMDB0001263",0.2
"HMDB0001264",2.36
"HMDB0001273",56
"HMDB0001276",0.007
"HMDB0001294",530
"HMDB0001302",0.00766
"HMDB0001310",446.75
"HMDB0001311",9.13
"HMDB0001314",0.0055
"HMDB0001315",1302.5
"HMDB0001327",1.17
"HMDB0001333",0.073
"HMDB0001336",0.01
"HMDB0001341",160
"HMDB0001348",25.1
"HMDB0001349",0.95
"HMDB0001358",0.155
"HMDB0001361",72
"HMDB0001377",5760
"HMDB0001383",0.055
"HMDB0001388",10.775
"HMDB0001389",0.0001265
"HMDB0001390",0.25
"HMDB0001392",15
"HMDB0001394",5.193
"HMDB0001396",0.3
"HMDB0001397",0.0097
"HMDB0001398",8.5
"HMDB0001401",16.81
"HMDB0001403",0.0002
"HMDB0001406",0.235
"HMDB0001411",0.000017
"HMDB0001414",0.12
"HMDB0001419",0.0275
"HMDB0001420",0.00168
"HMDB0001425",0.002285
"HMDB0001426",13.3
"HMDB0001429",547.535
"HMDB0001431",0.164
"HMDB0001434",0.089
"HMDB0001438",0.0091
"HMDB0001442",0.0001
"HMDB0001448",352.75
"HMDB0001449",0.001
"HMDB0001451",0.077
"HMDB0001452",0.00024
"HMDB0001453",4.99
"HMDB0001455",0.00092
"HMDB0001471",0.00167
"HMDB0001473",13.85
"HMDB0001475",0.00132
"HMDB0001476",0.079
"HMDB0001487",22
"HMDB0001488",48.05
"HMDB0001490",0.0173
"HMDB0001491",0.056
"HMDB0001492",3.88
"HMDB0001496",0.18
"HMDB0001505",0.0003455
"HMDB0001509",0.0001
"HMDB0001514",0.29
"HMDB0001518",0.013
"HMDB0001520",0.0084
"HMDB0001522",0.1
"HMDB0001533",0.01
"HMDB0001538",2.47
"HMDB0001539",0.5225
"HMDB0001545",0.251
"HMDB0001546",36
"HMDB0001547",0.027
"HMDB0001548",13.2
"HMDB0001555",0.00799
"HMDB0001562",0.0025
"HMDB0001563",0.04605
"HMDB0001565",2.2
"HMDB0001644",2.5
"HMDB0001659",48.65
"HMDB0001713",0.014
"HMDB0001830",0.0011
"HMDB0001842",0.2
"HMDB0001846",0.0025
"HMDB0001847",78
"HMDB0001851",2.9735
"HMDB0001852",0.10725
"HMDB0001855",0.0009
"HMDB0001856",0.239
"HMDB0001858",5.556
"HMDB0001860",10
"HMDB0001861",0.011
"HMDB0001865",12.9
"HMDB0001866",0.011
"HMDB0001867",18
"HMDB0001870",12.9445
"HMDB0001871",0.625
"HMDB0001873",2.3
"HMDB0001875",69.25
"HMDB0001876",0.0057
"HMDB0001877",208
"HMDB0001879",26.5
"HMDB0001881",2
"HMDB0001889",29
"HMDB0001890",4
"HMDB0001893",28
"HMDB0001895",0.02
"HMDB0001896",0.00014
"HMDB0001897",0.0000036
"HMDB0001901",2
"HMDB0001903",0.00008
"HMDB0001904",0.425
"HMDB0001906",0.89
"HMDB0001913",0.34
"HMDB0001917",0.0007
"HMDB0001919",4
"HMDB0001921",6
"HMDB0001923",302
"HMDB0001924",3.75
"HMDB0001925",242
"HMDB0001926",0.00016
"HMDB0001928",0.3
"HMDB0001929",0.135
"HMDB0001930",7.3
"HMDB0001931",0.16
"HMDB0001932",0.071
"HMDB0001934",0.745
"HMDB0001941",0.024
"HMDB0001942",2
"HMDB0001943",3.02
"HMDB0001954",20
"HMDB0001960",0.0065
"HMDB0001964",0.565
"HMDB0001966",0
"HMDB0001967",18000
"HMDB0001976",10
"HMDB0001980",0.0000053
"HMDB0001989",0.00016
"HMDB0001999",21.491
"HMDB0002000",2.016
"HMDB0002003",0.93
"HMDB0002004",0.21
"HMDB0002005",2.15
"HMDB0002012",0.00312
"HMDB0002013",0.17
"HMDB0002014",0.032
"HMDB0002017",0.014
"HMDB0002024",0.1
"HMDB0002027",0.32513
"HMDB0002030",2300
"HMDB0002032",0.0001
"HMDB0002035",0.116
"HMDB0002038",7
"HMDB0002039",0.0975
"HMDB0002040",0.624
"HMDB0002044",0.00142
"HMDB0002053",0.000022
"HMDB0002056",0.0022
"HMDB0002061",0.02898
"HMDB0002062",0.008
"HMDB0002068",1.264
"HMDB0002072",0.1185
"HMDB0002078",0.045
"HMDB0002080",2090
"HMDB0002084",4.85
"HMDB0002085",0
"HMDB0002088",23.4018
"HMDB0002089",0.073
"HMDB0002095",0.1
"HMDB0002097",1.1965
"HMDB0002100",12.5565
"HMDB0002103",0.3
"HMDB0002108",3.9
"HMDB0002111",55000000
"HMDB0002117",2090
"HMDB0002124",0.0119
"HMDB0002134",60
"HMDB0002158",0.015
"HMDB0002163",0
"HMDB0002166",1.03
"HMDB0002174",NA
"HMDB0002175",3.97
"HMDB0002177",0.007
"HMDB0002181",0.18
"HMDB0002182",2.3
"HMDB0002183",66.973
"HMDB0002185",0.0375
"HMDB0002186",50.6
"HMDB0002189",0.05
"HMDB0002190",0.007
"HMDB0002195",0
"HMDB0002196",0.000096
"HMDB0002199",0.6955
"HMDB0002200",0.000072
"HMDB0002204",0.092
"HMDB0002209",0.00058
"HMDB0002212",7.9995
"HMDB0002215",4.18
"HMDB0002226",0.7135
"HMDB0002231",1.498
"HMDB0002232",0.0004135
"HMDB0002243",0.299
"HMDB0002250",0.057
"HMDB0002259",370
"HMDB0002265",0.000967
"HMDB0002268",0.215
"HMDB0002269",0.17
"HMDB0002277",0.000038
"HMDB0002283",0.000134
"HMDB0002287",0.00282
"HMDB0002290",0.012955
"HMDB0002302",0.481
"HMDB0002311",0.0004
"HMDB0002314",0.000779
"HMDB0002326",0.0123
"HMDB0002329",3.33
"HMDB0002343",0.000351
"HMDB0002356",0.81
"HMDB0002364",0.026
"HMDB0002366",0.04
"HMDB0002368",0.9
"HMDB0002369",0.0049
"HMDB0002374",1.45
"HMDB0002386",12.5
"HMDB0002387",0.0266
"HMDB0002457",0.036
"HMDB0002466",0.111
"HMDB0002500",50.3
"HMDB0002503",0.0012
"HMDB0002586",0.1
"HMDB0002639",0.06
"HMDB0002641",0.521
"HMDB0002642",19.095
"HMDB0002655",0.03935
"HMDB0002656",0.000074
"HMDB0002659",0.0063
"HMDB0002664",0.0001
"HMDB0002670",0.014075
"HMDB0002685",0.000376
"HMDB0002689",0.0000028
"HMDB0002697",0.56
"HMDB0002708",0.02
"HMDB0002710",0.000072
"HMDB0002712",150
"HMDB0002719",1.81
"HMDB0002720",0.25
"HMDB0002721",0.0643
"HMDB0002725",0.0145
"HMDB0002728",0.000021
"HMDB0002730",283
"HMDB0002752",0.0008
"HMDB0002755",45
"HMDB0002759",11.1
"HMDB0002776",0.000397
"HMDB0002780",0.9365
"HMDB0002786",28.2
"HMDB0002789",0.32
"HMDB0002802",0.0411
"HMDB0002815",20.665
"HMDB0002820",0.08457
"HMDB0002823",0.004
"HMDB0002825",1.1
"HMDB0002829",0.0579
"HMDB0002869",12.346
"HMDB0002871",0.266
"HMDB0002878",37.85
"HMDB0002884",0.0295
"HMDB0002886",0.000359
"HMDB0002899",0.067
"HMDB0002902",14.2
"HMDB0002917",1.5885
"HMDB0002925",0.541
"HMDB0002961",0.00041
"HMDB0002972",0.0000021
"HMDB0002994",4.1
"HMDB0003000",0.5875
"HMDB0003034",0.000123
"HMDB0003045",0.99
"HMDB0003069",0.01815
"HMDB0003070",0.0465
"HMDB0003073",1.03
"HMDB0003080",0.000042
"HMDB0003125",10.5
"HMDB0003141",0.0066
"HMDB0003148",0.2
"HMDB0003154",0.01
"HMDB0003156",7.9
"HMDB0003157",0.259
"HMDB0003164",0.04
"HMDB0003175",0.0006
"HMDB0003213",4.8
"HMDB0003217",0.025
"HMDB0003227",5.7
"HMDB0003229",15
"HMDB0003231",98.6
"HMDB0003233",0.304
"HMDB0003236",0.00318
"HMDB0003243",1.06
"HMDB0003249",0.72
"HMDB0003252",0.00554
"HMDB0003269",6.665
"HMDB0003276",51.65
"HMDB0003312",0.0088
"HMDB0003331",0.08045
"HMDB0003332",0.09
"HMDB0003333",0.002
"HMDB0003334",0.46
"HMDB0003337",10.825
"HMDB0003339",0.014
"HMDB0003352",0.064
"HMDB0003357",1.03
"HMDB0003374",89
"HMDB0003375",0.19
"HMDB0003378",0.000012
"HMDB0003406",2.28
"HMDB0003409",0.0013
